minority,age,female,onecredit,beauty,nnenglish,intro,course_eval
1,36,1,0,0.2899157,0,0,4.3
0,59,0,0,-0.7377322,0,0,4.5
0,51,0,0,-0.5719836,0,0,3.7
0,40,1,0,-0.6779634,0,0,4.3
0,31,1,0,1.509794,0,0,4.4
0,62,0,0,0.5885687,0,0,4.2
0,33,1,0,-0.126001,0,0,4
0,51,1,0,-0.2581899,0,0,3.4
0,33,1,0,0.1496926,0,0,4.5
0,47,0,0,0.540917,0,0,3.9
1,35,0,0,0.2316134,1,0,3.1
0,37,0,0,-0.0666737,0,0,4
0,42,0,0,0.2168924,0,0,3.8
0,49,0,0,-0.2586962,1,0,3.4
0,37,1,0,0.5502878,0,0,2.9
0,45,0,0,-0.0620358,0,0,4.5
0,56,1,0,-0.9823852,0,0,4
0,48,0,0,-0.054344,0,1,3.8
0,46,1,0,-0.0680143,0,0,4.3
0,57,1,0,0.0294137,0,0,3.4
0,52,1,0,0.2394859,0,0,3.4
1,29,1,0,-0.8487269,1,0,3.3
0,62,0,0,-0.7330914,0,0,4.3
0,64,0,0,-0.1111221,0,0,4.4
0,34,1,0,1.775517,0,0,4.6
0,58,0,0,-0.3218485,0,0,4.2
1,52,0,0,0.2116939,1,0,4
0,73,0,0,-0.717645,0,0,3.3
0,70,0,0,-0.7326927,0,0,4.4
0,41,1,0,0.4081676,0,0,2.3
0,63,0,0,-0.0102077,0,0,3.5
0,47,0,0,-0.923957,0,0,4.7
0,39,0,0,0.5766805,0,1,3.9
1,47,1,0,-0.0836015,0,1,4
0,54,0,0,-1.079558,0,0,4.3
1,44,1,0,1.040902,0,0,3.8
1,47,0,0,-1.052108,0,0,3.8
0,62,0,0,-0.7277681,0,0,4
0,60,0,0,-0.3953965,0,0,4.6
0,37,0,0,0.9333959,0,0,3.5
0,42,0,0,-0.2377786,0,0,4.7
0,35,0,0,0.274908,0,0,4.2
0,39,1,0,1.970023,0,1,3.4
0,49,0,0,1.05095,0,0,3.9
0,61,0,0,0.2418185,0,1,4.5
0,33,0,0,1.349395,0,0,4.7
0,58,1,0,0.1115635,0,0,3.5
0,56,1,0,-0.2577254,0,0,3.7
0,50,1,0,-0.6562689,0,1,4
0,52,0,0,-0.6563948,0,0,4.1
0,33,1,0,0.7244775,0,0,4.4
0,57,0,0,0.6318343,0,0,4.2
0,38,1,0,1.070944,0,0,4.5
0,34,1,0,-1.450494,0,1,3.8
0,34,0,0,1.15588,0,0,3.1
0,32,0,0,-0.3260148,0,1,3.7
0,42,1,0,0.8846435,0,1,3.9
0,43,1,0,-0.5583452,0,1,4
0,35,0,0,-0.3415543,1,0,3.3
0,62,1,0,-0.5040575,0,0,3.1
0,42,0,0,-0.9005804,0,0,4
0,39,0,0,0.6430142,0,0,4.3
0,52,1,0,0.773524,0,0,3.7
0,52,1,0,1.063938,0,0,3.4
0,52,1,0,-1.090389,0,0,4.3
0,64,0,0,-1.069162,0,0,3.7
0,50,0,0,1.415695,0,0,4.2
0,60,0,0,-1.422919,0,0,2.2
0,51,1,0,0.3918222,0,0,3
0,43,0,0,-0.4899626,0,1,4.3
1,50,0,1,-0.5835869,0,1,4.6
0,52,0,0,0.7566829,0,0,3.5
0,51,0,0,0.8808186,0,1,4.6
0,38,0,0,-0.5665014,0,1,3.7
0,47,1,0,0.3394037,0,1,3.8
1,43,1,0,-0.1513687,0,1,3.6
0,38,1,0,-1.024997,0,1,4.4
0,43,0,0,-0.0252444,0,1,4.1
0,57,0,0,-0.7467875,0,0,4.3
0,51,1,0,0.9889485,0,0,4
0,45,0,1,-0.5324199,0,1,4.8
0,57,0,0,-0.7668921,0,1,3.5
0,47,1,0,1.154256,0,1,3.6
1,54,1,0,1.232602,0,1,3.8
0,58,0,0,1.774334,0,1,4.7
0,42,0,0,1.773151,0,1,4.9
0,33,0,0,0.7245926,0,1,4.3
0,62,0,0,-1.181626,0,1,3.3
1,35,1,0,1.769452,0,1,3.4
0,61,0,0,-0.5872612,0,1,3.6
0,52,1,0,-0.0018324,0,1,4
0,60,1,0,-0.0566766,1,0,3.9
0,32,0,0,1.231394,0,1,4.3
1,42,1,0,0.4203998,1,0,3.3
1,36,1,0,0.2899157,0,0,3.7
1,36,1,0,0.2899157,0,0,3.6
1,36,1,0,0.2899157,0,0,4.4
0,59,0,0,-0.7377322,0,0,4
0,59,0,0,-0.7377322,0,0,2.1
0,51,0,0,-0.5719836,0,0,3.2
0,40,1,0,-0.6779634,0,0,3.5
0,40,1,0,-0.6779634,0,0,4.1
0,40,1,0,-0.6779634,0,0,4.6
0,40,1,0,-0.6779634,0,0,3.8
0,40,1,0,-0.6779634,0,0,3.8
0,40,1,0,-0.6779634,0,0,3.8
0,40,1,0,-0.6779634,0,0,4.2
0,31,1,0,1.509794,0,0,3.9
0,31,1,0,1.509794,0,0,4.5
0,31,1,0,1.509794,0,0,4.5
0,31,1,0,1.509794,0,0,4.4
0,31,1,0,1.509794,0,0,4.4
0,62,0,0,0.5885687,0,0,4.4
0,62,0,0,0.5885687,0,0,4.5
0,62,0,0,0.5885687,0,0,4.3
0,62,0,0,0.5885687,0,0,4.6
0,62,0,0,0.5885687,0,0,4.8
0,62,0,0,0.5885687,0,0,4.3
0,33,1,0,-0.126001,0,0,4
0,33,1,0,-0.126001,0,0,4
0,33,1,0,-0.126001,0,0,3.9
0,33,1,0,-0.126001,0,0,3.3
0,51,1,0,-0.2581899,0,0,4.5
0,51,1,0,-0.2581899,0,0,4.5
0,51,1,0,-0.2581899,0,0,4.5
0,51,1,0,-0.2581899,0,1,2.5
0,51,1,0,-0.2581899,0,0,4.3
0,51,1,0,-0.2581899,0,0,4.5
0,33,1,0,0.1496926,0,0,4.7
0,33,1,0,0.1496926,0,0,3.5
0,33,1,0,0.1496926,0,0,4.5
0,33,1,0,0.1496926,0,0,3.8
0,33,1,0,0.1496926,0,0,4.5
0,33,1,0,0.1496926,0,0,4.3
0,47,0,0,0.540917,0,0,3.9
0,47,0,0,0.540917,0,0,4.3
0,47,0,0,0.540917,0,0,4.2
0,47,0,0,0.540917,0,1,5
0,47,0,0,0.540917,0,1,5
0,47,0,0,0.540917,0,0,4.6
0,47,0,0,0.540917,0,1,5
0,47,0,0,0.540917,0,0,4.7
0,47,0,0,0.540917,0,1,5
1,35,0,0,0.2316134,1,0,2.7
1,35,0,0,0.2316134,1,0,4
0,37,0,0,-0.0666737,0,0,4.4
0,37,0,0,-0.0666737,0,0,4.4
0,37,0,0,-0.0666737,0,0,4.3
0,37,0,0,-0.0666737,0,0,3.5
0,42,0,0,0.2168924,0,0,3.8
0,42,0,0,0.2168924,0,0,3.9
0,42,0,0,0.2168924,0,0,3.7
0,42,0,0,0.2168924,0,0,3.3
0,42,0,0,0.2168924,0,0,4
0,42,0,0,0.2168924,0,0,3.8
0,49,0,0,-0.2586962,1,0,4.2
0,49,0,0,-0.2586962,1,0,3.1
0,49,0,0,-0.2586962,1,0,3.6
0,37,1,0,0.5502878,0,0,3.3
0,37,1,0,0.5502878,0,0,2.9
0,37,1,0,0.5502878,0,0,3.1
0,45,0,0,-0.0620358,0,1,4
0,45,0,0,-0.0620358,0,1,4
0,45,0,0,-0.0620358,0,0,4.2
0,45,0,0,-0.0620358,0,0,3.8
0,45,0,0,-0.0620358,0,1,4.3
0,56,1,0,-0.9823852,0,0,4.6
0,56,1,0,-0.9823852,0,0,4.3
0,56,1,0,-0.9823852,0,0,3.6
0,56,1,0,-0.9823852,0,0,4.2
0,48,0,0,-0.054344,0,0,3.9
0,48,0,0,-0.054344,0,0,4.1
0,48,0,0,-0.054344,0,1,4
0,48,0,0,-0.054344,0,1,4.3
0,48,0,0,-0.054344,0,0,3.9
0,48,0,0,-0.054344,0,1,4.2
0,48,0,0,-0.054344,0,1,4.2
0,46,1,0,-0.0680143,0,1,4.9
0,46,1,0,-0.0680143,0,0,4
0,46,1,0,-0.0680143,0,0,4.3
0,46,1,0,-0.0680143,0,0,4.9
0,46,1,0,-0.0680143,0,0,3.9
0,46,1,0,-0.0680143,0,1,4.9
0,46,1,0,-0.0680143,0,0,3.9
0,46,1,0,-0.0680143,0,1,4
0,57,1,0,0.0294137,0,0,3.5
0,57,1,0,0.0294137,0,0,3.9
0,57,1,0,0.0294137,0,0,4
0,57,1,0,0.0294137,0,0,3.6
0,57,1,0,0.0294137,0,0,3
0,57,1,0,0.0294137,0,0,3
0,57,1,0,0.0294137,0,0,3.6
0,57,1,0,0.0294137,0,0,3.6
0,57,1,0,0.0294137,0,0,3.2
0,52,1,0,0.2394859,0,0,3.9
0,52,1,0,0.2394859,0,0,3.5
0,52,1,0,0.2394859,0,0,3.5
0,52,1,1,0.2394859,0,0,3.1
0,52,1,0,0.2394859,0,0,4.2
0,62,0,0,-0.7330914,0,1,3.6
0,62,0,0,-0.7330914,0,0,4.5
0,62,0,0,-0.7330914,0,1,3.7
0,62,0,0,-0.7330914,0,1,3.4
0,64,0,0,-0.1111221,0,0,4.5
0,64,0,0,-0.1111221,0,0,4.6
0,64,0,0,-0.1111221,0,0,4.8
0,64,0,0,-0.1111221,0,0,4.5
0,64,0,0,-0.1111221,0,0,4.4
0,64,0,0,-0.1111221,0,0,4.1
0,34,1,0,1.775517,0,0,3.9
0,58,0,0,-0.3218485,0,0,4.3
0,58,0,0,-0.3218485,0,1,3.5
0,58,0,0,-0.3218485,0,0,4
0,58,0,0,-0.3218485,0,1,4
1,52,0,0,0.2116939,1,0,4.6
1,52,0,0,0.2116939,1,0,4.6
1,52,0,0,0.2116939,1,0,3.7
1,52,0,0,0.2116939,1,0,3.5
